Attribute,Group,Outcome,Count,Actual positives,Actual negatives,Predicted positives,TP,FN,FP,TN,Observed outcome rate,Selection rate,Selection low,Selection high,TPR,TPR low,TPR high,FPR,FPR low,FPR high,FNR,Precision,Group accuracy,Group macro F1,Small group,Sparse outcome support
Gender × Age,Gender 1 / 20–24,Enrolled,106,29,77,40,17,12,23,54,0.27358490566037735,0.37735849056603776,0.29089613915715784,0.47239937001241006,0.5862068965517241,0.40737528478515245,0.7448706472035449,0.2987012987012987,0.2080375145120104,0.4084965471592084,0.41379310344827586,0.425,0.660377358490566,0.650039321424559,False,False
Gender × Age,Gender 1 / 20–24,Graduate,106,29,77,28,19,10,9,68,0.27358490566037735,0.2641509433962264,0.18953748624976913,0.3552615698455535,0.6551724137931034,0.47344776507155983,0.8005949125080951,0.11688311688311688,0.06272491064586315,0.2074528196316177,0.3448275862068966,0.6785714285714286,0.660377358490566,0.650039321424559,False,False
Gender × Age,Gender 1 / 25–34,Dropout,67,48,19,48,43,5,5,14,0.7164179104477612,0.7164179104477612,0.5990653510922904,0.8102986384279914,0.8958333333333334,0.7783231187385907,0.9546789490988218,0.2631578947368421,0.11806238339540162,0.48791968441070643,0.10416666666666667,0.8958333333333334,0.835820895522388,0.6945085470085469,False,False
Gender × Age,Gender 1 / 25–34,Enrolled,67,7,60,6,2,5,4,56,0.1044776119402985,0.08955223880597014,0.04169038288133413,0.18192963699399334,0.2857142857142857,0.0822171657090155,0.6410709098517873,0.06666666666666667,0.02622827414319792,0.15925579893767722,0.7142857142857143,0.3333333333333333,0.835820895522388,0.6945085470085469,False,True
Gender × Age,Gender 1 / 25–34,Graduate,67,12,55,13,11,1,2,53,0.1791044776119403,0.19402985074626866,0.11705063857457097,0.3041933762415822,0.9166666666666666,0.6461140782014047,0.9851352905492264,0.03636363636363636,0.010029330855724924,0.1232369297490173,0.08333333333333333,0.8461538461538461,0.835820895522388,0.6945085470085469,False,False
Gender × Age,Gender 1 / 35+,Dropout,36,23,13,22,21,2,1,12,0.6388888888888888,0.6111111111111112,0.4486417029674347,0.7521534458217705,0.9130434782608695,0.7320359570190598,0.9758205045927666,0.07692307692307693,0.013710066379696323,0.3331453392824736,0.08695652173913043,0.9545454545454546,0.8888888888888888,0.7676328502415459,False,False
Gender × Age,Gender 1 / 35+,Enrolled,36,2,34,2,1,1,1,33,0.05555555555555555,0.05555555555555555,0.015369663767066846,0.18144974107611211,0.5,0.09452865480086614,0.9054713451991339,0.029411764705882353,0.00521077192559663,0.1491590221634482,0.5,0.5,0.8888888888888888,0.7676328502415459,False,True
Gender × Age,Gender 1 / 35+,Graduate,36,11,25,12,10,1,2,23,0.3055555555555556,0.3333333333333333,0.20214424774586046,0.49666302907033155,0.9090909090909091,0.6226353745137962,0.9837682477371741,0.08,0.02221993369109193,0.24966512122957818,0.09090909090909091,0.8333333333333334,0.8888888888888888,0.7676328502415459,False,False
Gender × Age,Gender 1 / Under 20,Dropout,105,31,74,24,16,15,8,66,0.29523809523809524,0.22857142857142856,0.1586828389252159,0.3176203392713559,0.5161290322580645,0.34840118286973176,0.6803001396872117,0.10810810810810811,0.055806661696501225,0.1990904627202631,0.4838709677419355,0.6666666666666666,0.6761904761904762,0.641486833968037,False,False
Gender × Age,Gender 1 / Under 20,Enrolled,105,25,80,32,15,10,17,63,0.23809523809523808,0.3047619047619048,0.22490075875702692,0.39840503608612127,0.6,0.40739127785127344,0.7659694233580909,0.2125,0.13712274217035494,0.3142236061817758,0.4,0.46875,0.6761904761904762,0.641486833968037,False,False
Gender × Age,Gender 1 / Under 20,Graduate,105,49,56,49,40,9,9,47,0.4666666666666667,0.4666666666666667,0.37410951657470093,0.5615768386424218,0.8163265306122449,0.6864212843271743,0.9002377116154164,0.16071428571428573,0.08692569640589272,0.278064544496757,0.1836734693877551,0.8163265306122449,0.6761904761904762,0.641486833968037,False,False
